Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes,Release Year,Profit,ROI
Four Rooms,4301000.0,4301000.0,20331557.5,4000000.0,1995-12-25,r,107.0,miramax,original screenplay,comedy,contemporary fiction,robert rodriguez,14.0,6.4,34328.0,1995.0,301000.0,7.5249999999999995
The Four Seasons,42488161.0,42488161.0,20331557.5,6500000.0,1981-05-22,unknown,107.0,universal,original screenplay,comedy,contemporary fiction,alan alda,71.0,7.0,1814.0,1981.0,35988161.0,553.6640153846154
51 Birch Street,84689.0,84689.0,20331557.5,350000.0,2006-10-18,,107.0,truly indie,unknown,unknown,unknown,unknown,97.0,7.4,439.0,2006.0,-265311.0,-75.80314285714286
55 Days at Peking,10000000.0,10000000.0,20331557.5,17000000.0,1963-01-01,unknown,107.0,unknown,original screenplay,drama,unknown,unknown,57.0,6.8,2104.0,1963.0,-7000000.0,-41.17647058823529
Nine 1/2 Weeks,6734844.0,6734844.0,20331557.5,18000000.0,1986-02-21,unknown,107.0,mgm,based on book/short story,drama,contemporary fiction,adrian lyne,55.0,5.4,12731.0,1986.0,-11265156.0,-62.5842
The Abyss,54243125.0,54243125.0,20331557.5,70000000.0,1989-08-09,pg-13,107.0,20th century fox,original screenplay,action,science fiction,james cameron,88.0,7.6,51018.0,1989.0,-15756875.0,-22.509821428571428
Action Jackson,20257000.0,20257000.0,20331557.5,7000000.0,1988-02-12,unknown,107.0,lorimar motion pictures,original screenplay,action,contemporary fiction,unknown,10.0,4.6,3856.0,1988.0,13257000.0,189.3857142857143
Ace Ventura: Pet Detective,72217396.0,107217396.0,20331557.5,12000000.0,1994-02-04,pg-13,107.0,warner bros.,original screenplay,comedy,contemporary fiction,tom shadyac,49.0,6.6,63543.0,1994.0,95217396.0,793.4783
April Fool's Day,12947763.0,12947763.0,20331557.5,5000000.0,1986-03-27,unknown,107.0,paramount pictures,original screenplay,horror,contemporary fiction,unknown,31.0,6.4,15106.0,1986.0,7947763.0,158.95526
Among Giants,64359.0,64359.0,20331557.5,4000000.0,1999-03-26,r,107.0,fox searchlight,original screenplay,romantic comedy,unknown,unknown,55.0,5.7,546.0,1999.0,-3935641.0,-98.391025
Annie Get Your Gun,8000000.0,8000000.0,20331557.5,3768785.0,2050-05-17,unknown,107.0,mgm,based on book/short story,musical,unknown,unknown,100.0,7.1,1326.0,2050.0,4231215.0,112.27000213596689
Alice in Wonderland,0.0,0.0,20331557.5,3000000.0,2051-07-28,unknown,107.0,rko radio pictures,based on book/short story,musical,unknown,unknown,20.0,6.7,63458.0,2051.0,-3000000.0,-100.0
The Princess and the Cobbler,669276.0,669276.0,20331557.5,24000000.0,1995-08-25,g,107.0,miramax,original screenplay,adventure,fantasy,unknown,55.0,7.3,893.0,1995.0,-23330724.0,-97.21135
The Alamo,7900000.0,7900000.0,20331557.5,12000000.0,2060-10-24,pg-13,107.0,united artists,original screenplay,western,historical fiction,john wayne,54.0,5.9,10063.0,2060.0,-4100000.0,-34.166666666666664
Alexander's Ragtime Band,4000000.0,4000000.0,20331557.5,2000000.0,1938-01-01,unknown,107.0,20th century fox,original screenplay,drama,unknown,unknown,55.0,6.4,15106.0,1938.0,2000000.0,100.0
Amen,274299.0,274299.0,20331557.5,14000000.0,2003-01-24,,107.0,kino international,based on play,drama,unknown,costa-gavras,55.0,7.4,5416.0,2003.0,-13725701.0,-98.04072142857143
American Graffiti,115000000.0,140000000.0,20331557.5,777000.0,2073-08-11,unknown,107.0,universal,original screenplay,comedy,unknown,george lucas,97.0,7.6,30952.0,2073.0,139223000.0,17918.018018018018
American Ninja 2: The Confrontation,4000000.0,4000000.0,20331557.5,350000.0,1987-01-01,unknown,107.0,unknown,original screenplay,action,unknown,sam firstenberg,55.0,3.7,2495.0,1987.0,3650000.0,1042.857142857143
The American President,60022813.0,107822813.0,20331557.5,62000000.0,1995-11-17,pg-13,107.0,sony pictures,original screenplay,romantic comedy,contemporary fiction,rob reiner,90.0,6.8,22780.0,1995.0,45822813.0,73.9077629032258
Annie Hall,38251425.0,38251425.0,20331557.5,4000000.0,1977-04-20,unknown,107.0,mgm,original screenplay,comedy,unknown,woody allen,98.0,8.2,65406.0,1977.0,34251425.0,856.285625
Anatomie,9598.0,9598.0,20331557.5,2500000.0,2000-09-08,,107.0,sony pictures,original screenplay,horror,unknown,unknown,55.0,6.1,6266.0,2000.0,-2490402.0,-99.61608
The Adventures of Huck Finn,24103594.0,24103594.0,20331557.5,6500000.0,1993-04-02,pg,107.0,walt disney pictures,based on book/short story,adventure,historical fiction,stephen sommers,62.0,5.8,3095.0,1993.0,17603594.0,270.8245230769231
The Apartment,18600000.0,24600000.0,20331557.5,3000000.0,1960-01-01,unknown,107.0,united artists,original screenplay,romantic comedy,unknown,billy wilder,91.0,8.4,36485.0,1960.0,21600000.0,720.0
Apocalypse Now,78800000.0,78800000.0,3479242.0,31500000.0,1979-08-15,r,107.0,mgm,based on book/short story,action,historical fiction,francis ford coppola,98.0,8.6,173141.0,1979.0,47300000.0,150.15873015873015
Arachnophobia,53208180.0,53208180.0,20331557.5,31000000.0,1990-07-18,unknown,107.0,walt disney pictures,original screenplay,thriller/suspense,science fiction,frank marshall,85.0,6.2,20528.0,1990.0,22208180.0,71.63929032258064
Arn - Tempelriddaren,0.0,14900000.0,20331557.5,16500000.0,2007-12-25,r,107.0,unknown,based on book/short story,action,historical fiction,unknown,55.0,6.4,6251.0,2007.0,-1600000.0,-9.696969696969697
Arnolds Park,23616.0,23616.0,20331557.5,600000.0,2007-10-19,pg-13,107.0,the movie partners,original screenplay,thriller/suspense,contemporary fiction,unknown,55.0,5.1,77.0,2007.0,-576384.0,-96.06400000000001
Sweet Sweetback's Baad Asssss Song,15200000.0,15200000.0,20331557.5,150000.0,2071-01-01,unknown,107.0,unknown,unknown,unknown,unknown,unknown,55.0,5.6,1769.0,2071.0,15050000.0,10033.333333333332
And Then Came Love,8158.0,8158.0,20331557.5,989000.0,2007-06-01,,107.0,fox meadow,unknown,comedy,unknown,unknown,17.0,4.4,200.0,2007.0,-980842.0,-99.17512639029323
Around the World in 80 Days,42000000.0,42000000.0,20331557.5,6000000.0,2056-10-17,pg,107.0,united artists,based on book/short story,adventure,unknown,unknown,73.0,5.6,21516.0,2056.0,36000000.0,600.0
Barbarella,0.0,0.0,20331557.5,9000000.0,2068-10-10,unknown,107.0,paramount pictures,based on comic/graphic novel,adventure,science fiction,unknown,74.0,5.7,10794.0,2068.0,-9000000.0,-100.0
Barry Lyndon,20000000.0,20000000.0,20331557.5,11000000.0,1975-01-01,unknown,107.0,warner bros.,based on book/short story,drama,unknown,stanley kubrick,94.0,8.1,39909.0,1975.0,9000000.0,81.81818181818183
"Barbarians, The",800000.0,800000.0,20331557.5,4000000.0,1987-03-01,unknown,107.0,unknown,unknown,unknown,unknown,unknown,55.0,5.4,236.0,1987.0,-3200000.0,-80.0
Boynton Beach Club,3127472.0,3127472.0,20331557.5,2900000.0,2006-03-24,r,104.0,wingate distribution,original screenplay,romantic comedy,contemporary fiction,unknown,55.0,6.4,15106.0,2006.0,227472.0,7.8438620689655165
Baby's Day Out,16581575.0,16581575.0,20331557.5,50000000.0,1994-07-01,pg,107.0,20th century fox,original screenplay,comedy,contemporary fiction,patrick read johnson,21.0,5.0,8332.0,1994.0,-33418425.0,-66.83685
Bound by Honor,4496583.0,4496583.0,20331557.5,35000000.0,1993-04-16,unknown,107.0,walt disney pictures,original screenplay,unknown,unknown,taylor hackford,55.0,7.7,10142.0,1993.0,-30503417.0,-87.15262
"Bon Cop, Bad Cop",12671300.0,12671300.0,20331557.5,8000000.0,2006-08-04,,107.0,alliance,original screenplay,comedy,contemporary fiction,unknown,67.0,6.9,151.0,2006.0,4671300.0,58.39124999999999
Butch Cassidy and the Sundance Kid,102308900.0,102308900.0,20331557.5,6000000.0,2069-10-24,unknown,107.0,20th century fox,unknown,western,historical fiction,george roy hill,90.0,8.2,57602.0,2069.0,96308900.0,1605.1483333333333
Bad Boys,65647413.0,141247413.0,20331557.5,23000000.0,1995-04-07,r,107.0,sony pictures,original screenplay,action,contemporary fiction,michael bay,39.0,6.6,53929.0,1995.0,118247413.0,514.1191869565217
Body Double,8801940.0,8801940.0,20331557.5,10000000.0,1984-10-26,unknown,107.0,sony/columbia,original screenplay,thriller/suspense,contemporary fiction,brian de palma,84.0,6.4,9738.0,1984.0,-1198060.0,-11.980599999999999
"The Beast from 20,000 Fathoms",5000000.0,5000000.0,20331557.5,210000.0,2053-06-13,unknown,107.0,warner bros.,based on book/short story,unknown,unknown,unknown,90.0,6.4,15106.0,2053.0,4790000.0,2280.952380952381
The Beastmaster,10751126.0,10751126.0,20331557.5,5000000.0,1982-08-20,unknown,107.0,mgm,based on book/short story,action,fantasy,unknown,50.0,5.7,5734.0,1982.0,5751126.0,115.02252
Ben-Hur,9000000.0,9000000.0,20331557.5,3900000.0,2025-12-30,unknown,107.0,mgm,based on book/short story,adventure,unknown,unknown,55.0,8.2,58510.0,2025.0,5100000.0,130.76923076923077
Ben-Hur,73000000.0,73000000.0,20331557.5,15000000.0,2059-11-18,unknown,107.0,mgm,based on book/short story,adventure,unknown,william wyler,91.0,8.2,58510.0,2059.0,58000000.0,386.6666666666667
Benji,31559560.0,31559560.0,20331557.5,500000.0,2074-11-15,unknown,107.0,unknown,original screenplay,adventure,unknown,unknown,83.0,5.8,1801.0,2074.0,31059560.0,6211.912
Before Sunrise,5274005.0,5274005.0,20331557.5,2500000.0,1995-01-27,r,107.0,sony pictures,original screenplay,drama,contemporary fiction,richard linklater,100.0,8.0,39705.0,1995.0,2774005.0,110.9602
The Best Years of Our Lives,23600000.0,23600000.0,20331557.5,2100000.0,2046-11-21,unknown,107.0,rko radio pictures,based on book/short story,drama,unknown,william wyler,97.0,8.2,17338.0,2046.0,21500000.0,1023.8095238095237
The Ballad of Gregorio Cortez,909000.0,909000.0,20331557.5,1305000.0,1983-08-19,unknown,107.0,embassy,based on book/short story,western,historical fiction,unknown,55.0,6.4,15106.0,1983.0,-396000.0,-30.344827586206897
Battle for the Planet of the Apes,8800000.0,8800000.0,20331557.5,1800000.0,1973-01-01,unknown,107.0,20th century fox,unknown,unknown,science fiction,jack lee thompson,38.0,5.0,6094.0,1973.0,7000000.0,388.88888888888886
Big Things,0.0,0.0,20331557.5,50000.0,2009-12-31,unknown,107.0,unknown,unknown,unknown,unknown,unknown,55.0,6.4,15106.0,2009.0,-50000.0,-100.0
Bogus,4357406.0,4357406.0,20331557.5,32000000.0,1996-09-06,pg,107.0,warner bros.,original screenplay,comedy,fantasy,norman jewison,40.0,4.8,2742.0,1996.0,-27642594.0,-86.38310625
Beverly Hills Cop III,42586861.0,119180938.0,20331557.5,50000000.0,1994-05-25,r,107.0,paramount pictures,original screenplay,action,contemporary fiction,john landis,10.0,5.0,21199.0,1994.0,69180938.0,138.361876
The Black Hole,35841901.0,35841901.0,20331557.5,20000000.0,1979-12-21,unknown,107.0,walt disney pictures,original screenplay,unknown,science fiction,unknown,42.0,5.6,7810.0,1979.0,15841901.0,79.20950500000001
Bathory,0.0,3436763.0,20331557.5,15000000.0,2008-07-10,unknown,107.0,unknown,unknown,unknown,unknown,unknown,55.0,6.1,1446.0,2008.0,-11563237.0,-77.08824666666668
Big,114968774.0,151668774.0,20331557.5,18000000.0,1988-06-03,unknown,107.0,20th century fox,original screenplay,comedy,fantasy,penny marshall,96.0,7.2,49256.0,1988.0,133668774.0,742.6043
The Big Parade,11000000.0,22000000.0,20331557.5,245000.0,2025-01-01,unknown,107.0,mgm,based on play,drama,unknown,king vidor,100.0,8.4,2600.0,2025.0,21755000.0,8879.591836734695
Boyz n the Hood,56190094.0,56190094.0,20331557.5,6500000.0,1991-07-12,unknown,107.0,sony pictures,original screenplay,drama,contemporary fiction,john singleton,98.0,7.8,30299.0,1991.0,49690094.0,764.4629846153846
"The Book of Mormon Movie, Volume 1: The Journey",1660865.0,1660865.0,20331557.5,2000000.0,2003-09-12,pg,107.0,distributor unknown,based on book/short story,drama,historical fiction,unknown,55.0,6.4,15106.0,2003.0,-339135.0,-16.95675
Return to the Blue Lagoon,2000000.0,2000000.0,20331557.5,11000000.0,1991-01-01,unknown,107.0,unknown,unknown,unknown,unknown,unknown,55.0,4.3,4632.0,1991.0,-9000000.0,-81.81818181818183
"Bright Lights, Big City",16118077.0,16118077.0,20331557.5,25000000.0,1988-04-01,r,107.0,united artists,based on book/short story,drama,contemporary fiction,unknown,61.0,6.8,11929.0,1988.0,-8881923.0,-35.527692
The Blue Bird,887000.0,887000.0,20331557.5,1200000.0,1976-01-01,unknown,107.0,20th century fox,based on play,unknown,fantasy,george cukor,55.0,4.9,359.0,1976.0,-313000.0,-26.083333333333332
The Blue Butterfly,1610194.0,1610194.0,20331557.5,10400000.0,2004-02-20,pg,107.0,alliance,original screenplay,drama,contemporary fiction,unknown,44.0,6.2,817.0,2004.0,-8789806.0,-84.51736538461539
Blade Runner,32656328.0,33139618.0,20331557.5,28000000.0,1982-06-25,r,107.0,warner bros.,based on book/short story,thriller/suspense,science fiction,ridley scott,92.0,8.3,185546.0,1982.0,5139618.0,18.355778571428573
Bloodsport,11806119.0,11806119.0,20331557.5,1500000.0,1988-02-26,unknown,107.0,cannon,original screenplay,action,contemporary fiction,unknown,55.0,6.2,19816.0,1988.0,10306119.0,687.0745999999999
The Blues Brothers,57229890.0,57229890.0,20331557.5,27000000.0,1980-06-20,unknown,107.0,universal,original screenplay,musical,contemporary fiction,john landis,84.0,7.9,62941.0,1980.0,30229890.0,111.96255555555557
Blow Out,13747234.0,13747234.0,20331557.5,18000000.0,1981-07-24,unknown,107.0,filmways pictures,original screenplay,thriller/suspense,contemporary fiction,brian de palma,89.0,7.1,10239.0,1981.0,-4252766.0,-23.626477777777776
De battre mon coeur s'est arrÃtÃˆ,1023424.0,8589831.0,20331557.5,5500000.0,2005-07-01,,107.0,wellspring,original screenplay,drama,contemporary fiction,unknown,55.0,7.3,7295.0,2005.0,3089831.0,56.17874545454546
The Broadway Melody,2800000.0,4358000.0,20331557.5,379000.0,1929-01-01,unknown,107.0,mgm,original screenplay,musical,unknown,unknown,38.0,6.7,2017.0,1929.0,3979000.0,1049.8680738786281
Boom Town,9172000.0,9172000.0,20331557.5,2000000.0,1940-01-01,unknown,107.0,mgm,original screenplay,unknown,unknown,unknown,55.0,7.1,1115.0,1940.0,7172000.0,358.59999999999997
Bound,3802260.0,6300000.0,20331557.5,4500000.0,1996-10-04,r,107.0,gramercy,original screenplay,thriller/suspense,contemporary fiction,andy wachowski,88.0,7.4,23564.0,1996.0,1800000.0,40.0
Bang,527.0,527.0,20331557.5,10000.0,1996-04-01,unknown,107.0,jeti films,original screenplay,thriller/suspense,contemporary fiction,"jeff ""king jeff"" hollins",55.0,6.3,369.0,1996.0,-9473.0,-94.73
Bill & Ted's Bogus Journey,37537675.0,37537675.0,20331557.5,20000000.0,1991-07-19,unknown,107.0,orion pictures,original screenplay,comedy,fantasy,peter hewitt,58.0,5.8,20188.0,1991.0,17537675.0,87.688375
The Birth of a Nation,10000000.0,11000000.0,20331557.5,110000.0,2015-02-08,unknown,107.0,unknown,based on book/short story,drama,unknown,unknown,100.0,7.1,8901.0,2015.0,10890000.0,9900.0
The Ballad of Cable Hogue,3500000.0,5000000.0,20331557.5,3716946.0,2070-05-13,unknown,107.0,warner bros.,original screenplay,western,historical fiction,sam peckinpah,92.0,7.3,3125.0,2070.0,1283054.0,34.51903794136369
The Blood of Heroes,882290.0,882290.0,20331557.5,7700000.0,1990-02-23,unknown,107.0,new line,original screenplay,action,unknown,unknown,55.0,6.2,2523.0,1990.0,-6817710.0,-88.54168831168832
The Blood of My Brother: A Story of Death in Iraq,0.0,0.0,20331557.5,120000.0,2006-06-30,unknown,107.0,lifesize entertainment,based on real life events,documentary,factual,unknown,71.0,7.6,90.0,2006.0,-120000.0,-100.0
Boomerang,70052444.0,131052444.0,20331557.5,42000000.0,1992-07-01,unknown,107.0,paramount pictures,original screenplay,comedy,contemporary fiction,unknown,37.0,5.9,202.0,1992.0,89052444.0,212.0296285714286
The Bridge on the River Kwai,33300000.0,33300000.0,20331557.5,3000000.0,2057-12-18,unknown,107.0,sony/columbia,based on book/short story,drama,unknown,david lean,95.0,8.4,58641.0,2057.0,30300000.0,1010.0
Born on the Fourth of July,70001698.0,70001698.0,20331557.5,14000000.0,1989-12-20,unknown,107.0,universal,based on book/short story,drama,dramatization,oliver stone,89.0,7.2,32108.0,1989.0,56001698.0,400.0121285714286
Basquiat,2962051.0,2962051.0,20331557.5,3000000.0,1996-08-09,r,107.0,miramax,based on real life events,drama,dramatization,julian schnabel,69.0,6.7,7935.0,1996.0,-37949.0,-1.2649666666666666
Black Rain,45892212.0,45892212.0,20331557.5,30000000.0,1989-09-22,unknown,107.0,paramount pictures,original screenplay,thriller/suspense,contemporary fiction,ridley scott,57.0,4.1,137.0,1989.0,15892212.0,52.97404
Bottle Rocket,407488.0,407488.0,20331557.5,5000000.0,1996-02-21,r,107.0,sony pictures,based on short film,adventure,unknown,wes anderson,79.0,7.2,21980.0,1996.0,-4592512.0,-91.85024
Braindead,242623.0,242623.0,20331557.5,3000000.0,1993-02-12,unknown,107.0,trimark,original screenplay,horror,unknown,peter jackson,55.0,7.6,32827.0,1993.0,-2757377.0,-91.91256666666666
The Brothers McMullen,10426506.0,10426506.0,20331557.5,25000.0,1995-08-09,r,107.0,fox searchlight,original screenplay,drama,contemporary fiction,edward burns,91.0,6.4,4365.0,1995.0,10401506.0,41606.024000000005
Broken Arrow,70645997.0,148345997.0,20331557.5,65000000.0,1996-02-09,r,108.0,20th century fox,original screenplay,action,contemporary fiction,john woo,55.0,5.8,33584.0,1996.0,83345997.0,128.22461076923076
Brainstorm,8921050.0,8921050.0,20331557.5,15000000.0,1983-09-30,unknown,107.0,mgm,based on book/short story,thriller/suspense,science fiction,unknown,64.0,6.3,4410.0,1983.0,-6078950.0,-40.52633333333333
Les BronzÃˆs 3: amis pour la vie,0.0,83833602.0,20331557.5,42000000.0,2006-02-01,unknown,107.0,unknown,unknown,comedy,contemporary fiction,unknown,55.0,4.4,1254.0,2006.0,41833602.0,99.6038142857143
Brazil,9929135.0,9929135.0,20331557.5,15000000.0,1985-12-18,r,136.0,universal,original screenplay,black comedy,fantasy,terry gilliam,98.0,8.0,76635.0,1985.0,-5070865.0,-33.80576666666666
Blazing Saddles,119500000.0,119500000.0,20331557.5,2600000.0,2074-01-01,unknown,107.0,warner bros.,original screenplay,comedy,unknown,mel brooks,89.0,7.8,45771.0,2074.0,116900000.0,4496.153846153846
The Basket,609042.0,609042.0,20331557.5,1300000.0,2000-05-05,pg,107.0,mgm,original screenplay,drama,unknown,unknown,55.0,6.3,343.0,2000.0,-690958.0,-53.150615384615385
Bathing Beauty,3500000.0,3500000.0,20331557.5,2361000.0,1944-01-01,unknown,107.0,mgm,original screenplay,musical,unknown,unknown,55.0,6.2,487.0,1944.0,1139000.0,48.24227022448115
Bill & Ted's Excellent Adventure,39916091.0,39916091.0,20331557.5,10000000.0,1989-02-17,unknown,107.0,orion pictures,original screenplay,comedy,science fiction,stephen herek,81.0,6.7,30341.0,1989.0,29916091.0,299.16091
A Bridge Too Far,50800000.0,50800000.0,20331557.5,26000000.0,1977-06-15,unknown,107.0,mgm,based on book/short story,action,unknown,sir richard attenborough,67.0,7.3,16882.0,1977.0,24800000.0,95.38461538461539
Beetle Juice,73326666.0,73326666.0,20331557.5,15000000.0,1988-03-30,unknown,107.0,warner bros.,original screenplay,comedy,fantasy,tim burton,55.0,7.3,61197.0,1988.0,58326666.0,388.84444
Batman - The Movie,0.0,0.0,20331557.5,1377800.0,2001-08-21,unknown,107.0,unknown,unknown,unknown,unknown,unknown,55.0,6.4,15106.0,2001.0,-1377800.0,-100.0
Buffy the Vampire Slayer,14231669.0,14231669.0,20331557.5,7000000.0,1992-07-31,unknown,107.0,20th century fox,original screenplay,horror,fantasy,unknown,32.0,5.3,16056.0,1992.0,7231669.0,103.30955714285714
Beyond the Valley of the Dolls,9000000.0,9000000.0,20331557.5,1000000.0,2070-01-01,unknown,107.0,20th century fox,original screenplay,comedy,unknown,unknown,68.0,5.7,4626.0,2070.0,8000000.0,800.0
Broken Vessels,15030.0,85343.0,20331557.5,600000.0,1999-07-02,r,107.0,unknown,original screenplay,drama,unknown,unknown,55.0,6.4,399.0,1999.0,-514657.0,-85.77616666666667
The Boys from Brazil,19000000.0,19000000.0,20331557.5,12000000.0,1978-01-01,unknown,107.0,20th century fox,based on book/short story,thriller/suspense,unknown,franklin j. schaffner,65.0,7.0,8741.0,1978.0,7000000.0,58.333333333333336
The Business of Fancy Dancing,174682.0,174682.0,20331557.5,200000.0,2002-05-10,,107.0,outrider pictures,original screenplay,drama,contemporary fiction,unknown,55.0,7.0,355.0,2002.0,-25318.0,-12.659
Caddyshack,39846344.0,39846344.0,20331557.5,6000000.0,1980-07-25,unknown,107.0,warner bros.,original screenplay,comedy,contemporary fiction,harold ramis,75.0,7.3,35436.0,1980.0,33846344.0,564.1057333333333
Carrie,25878153.0,25878153.0,20331557.5,1800000.0,1976-11-16,unknown,107.0,mgm,based on book/short story,horror,contemporary fiction,brian de palma,90.0,7.4,38767.0,1976.0,24078153.0,1337.6751666666667
